id,name,department_id/id
arrocesa_cargos_001,HORNADOR,arrocesa_departamento_003
arrocesa_cargos_002,SECADOR,arrocesa_departamento_003
arrocesa_cargos_003,CONTROL CALIDAD,arrocesa_departamento_003
arrocesa_cargos_004,ESTIBADOR,arrocesa_departamento_003
arrocesa_cargos_005,PILADOR,arrocesa_departamento_003
arrocesa_cargos_006,LIMPIEZA_PROD,arrocesa_departamento_003
arrocesa_cargos_007,JEFE CUADRILLA,arrocesa_departamento_003
arrocesa_cargos_008,OPER EMPACADORA,arrocesa_departamento_003
arrocesa_cargos_009,ASISTENTE BODEGA,arrocesa_departamento_003
arrocesa_cargos_010,DESPACHADOR,arrocesa_departamento_003
arrocesa_cargos_011,ASIST SECADOR,arrocesa_departamento_003
arrocesa_cargos_012,ASIST PILADOR,arrocesa_departamento_003
arrocesa_cargos_013,JEFE PRODUCCION,arrocesa_departamento_003
arrocesa_cargos_014,JEFE DE PLANTA,arrocesa_departamento_003
arrocesa_cargos_015,GUARDIA,arrocesa_departamento_001
arrocesa_cargos_016,ASIST GERENCIA,arrocesa_departamento_001
arrocesa_cargos_017,ASISTENTE CONTABLE,arrocesa_departamento_001
arrocesa_cargos_018,CONTADOR,arrocesa_departamento_001
arrocesa_cargos_019,LIMPIEZA_ADM,arrocesa_departamento_001
arrocesa_cargos_020,CONTRALOR,arrocesa_departamento_001
arrocesa_cargos_021,ASIST ADMINISTRACION,arrocesa_departamento_001
arrocesa_cargos_022,ASIST RR HH Y FINANCIERO,arrocesa_departamento_001
arrocesa_cargos_023,GERENTE,arrocesa_departamento_002
arrocesa_cargos_024,PRESIDENTE,arrocesa_departamento_002
arrocesa_cargos_025,GERENTE ADMINISTRATIVO,arrocesa_departamento_002
arrocesa_cargos_026,JEFE MANTTO,arrocesa_departamento_004
arrocesa_cargos_027,FACTURADOR,arrocesa_departamento_006
arrocesa_cargos_028,GTE COMERCIAL,arrocesa_departamento_005
arrocesa_cargos_029,ASIST COMERCIAL,arrocesa_departamento_005
