id,default_code,name,standard_price,list_price,type,categ_id,uom_id,uom_po_id,purchase_ok,sale_ok,route_ids/id
arrocesa_product_001,MPARR-01,ARROZ HÚMEDO GRANO LARGO ,,,Storable Product,All / Saleable / Materia Prima,saca,saca,True,False,
arrocesa_product_002,MPARR-02,ARROZ HÚMEDO GRANO EXTRA LARGO,,,Storable Product,All / Saleable / Materia Prima,saca,saca,True,False,
arrocesa_product_003,MPARR-04,ARROZ PILADO LARGO,,,Storable Product,All / Saleable / Materia Prima,quintal,quintal,True,False,mrp.route_warehouse0_manufacture
arrocesa_product_004,MPARR-05,ARROZ PILADO EXTRA LARGO,,,Storable Product,All / Saleable / Materia Prima,quintal,quintal,True,False,mrp.route_warehouse0_manufacture
arrocesa_product_005,MPARR-06,ARROZ PRECOCIDO LARGO,,,Storable Product,All / Saleable / Materia Prima,quintal,quintal,True,False,mrp.route_warehouse0_manufacture
arrocesa_product_006,PTRE02-06-13,"RESERVA ESPECIAL ENVEJECIDO FUNDA 2 kg, BULTO 13u.",2.00,3.08,Storable Product,All / Saleable / Envejecido,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_007,PTRE02-03,RESERVA ESPECIAL ENVEJECIDO @ - 11.34 kg - 25Lbs,8.50,12.78,Storable Product,All / Saleable / Envejecido,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_008,PTRE02-01,RESERVA ESPECIAL ENVEJECIDO Saco 45.36 kg,33.00,49.62,Storable Product,All / Saleable / Envejecido,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_009,PTRE01-06-13,"RESERVA ESPECIAL NATURAL FUNDA 2 kg, BULTO 13u.",1.86,2.86,Storable Product,All / Saleable / Natural ,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_010,PTRE01-03,RESERVA ESPECIAL NATURAL @ - 11.34 kg - 25Lbs,7.75,,Storable Product,All / Saleable / Natural ,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_011,PTRE01-01,RESERVA ESPECIAL NATURAL quintal - 45.36 kg - 100 Lbs,30.00,47.49,Storable Product,All / Saleable / Natural ,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_012,PTLE02-10-24,"LIRA EXPRESS ENVEJECIDO FUNDA 454 g - 1Lbs, BULTO 24u.",0.39,0.60,Storable Product,All / Saleable / Envejecido,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_013,PTLE02-07-30,"LIRA EXPRESS ENVEJECIDO FUNDA 1 kg, BULTO 30u.",0.98,1.51,Storable Product,All / Saleable / Envejecido,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
arrocesa_product_014,PTLE02-06-13,"LIRA EXPRESS ENVEJECIDO FUNDA 2 kg, BULTO 13u.",1.96,3.02,Storable Product,All / Saleable / Envejecido,Unit(s),Unit(s),False,True,mrp.route_warehouse0_manufacture
