id,province_id/id,code,name
ote_canton_0101,ote_province_01,01,CUENCA
ote_canton_0102,ote_province_01,02,GIRON
ote_canton_0103,ote_province_01,03,GUALACEO
ote_canton_0104,ote_province_01,04,NABON
ote_canton_0105,ote_province_01,05,PAUTE
ote_canton_0106,ote_province_01,06,PUCARA
ote_canton_0107,ote_province_01,07,SAN FERNANDO
ote_canton_0108,ote_province_01,08,SANTA ISABEL
ote_canton_0109,ote_province_01,09,SIGSIG
ote_canton_0110,ote_province_01,10,OÑA
ote_canton_0111,ote_province_01,11,CHORDELEG
ote_canton_0112,ote_province_01,12,EL PAN
ote_canton_0113,ote_province_01,13,SEVILLA DE ORO
ote_canton_0114,ote_province_01,14,GUACHAPALA
ote_canton_0115,ote_province_01,15,CAMILO PONCE ENRIQUEZ
ote_canton_0201,ote_province_02,01,GUARANDA
ote_canton_0202,ote_province_02,02,CHILLANES
ote_canton_0203,ote_province_02,03,CHIMBO
ote_canton_0204,ote_province_02,04,ECHEANDIA
ote_canton_0205,ote_province_02,05,SAN MIGUEL
ote_canton_0206,ote_province_02,06,CALUMA
ote_canton_0207,ote_province_02,07,LAS NAVES
ote_canton_0301,ote_province_03,01,AZOGUES
ote_canton_0302,ote_province_03,02,BIBLIAN
ote_canton_0303,ote_province_03,03,CAÑAR
ote_canton_0304,ote_province_03,04,LA TRONCAL
ote_canton_0305,ote_province_03,05,EL TAMBO
ote_canton_0306,ote_province_03,06,DELEG
ote_canton_0307,ote_province_03,07,SUSCAL
ote_canton_0401,ote_province_04,01,TULCAN
ote_canton_0402,ote_province_04,02,BOLIVAR
ote_canton_0403,ote_province_04,03,ESPEJO
ote_canton_0404,ote_province_04,04,MIRA
ote_canton_0405,ote_province_04,05,MONTUFAR
ote_canton_0406,ote_province_04,06,SAN PEDRO DE HUACA
ote_canton_0501,ote_province_05,01,LATACUNGA
ote_canton_0502,ote_province_05,02,LA MANA
ote_canton_0503,ote_province_05,03,PANGUA
ote_canton_0504,ote_province_05,04,PUJILI
ote_canton_0505,ote_province_05,05,SALCEDO
ote_canton_0506,ote_province_05,06,SAQUISILI
ote_canton_0507,ote_province_05,07,SIGCHOS
ote_canton_0601,ote_province_06,01,RIOBAMBA
ote_canton_0602,ote_province_06,02,ALAUSI
