id,canton_id/id,code,name
ote_parroquia_010150,ote_canton_0101,50,CUENCA
ote_parroquia_010151,ote_canton_0101,51,BAÑOS
ote_parroquia_010152,ote_canton_0101,52,CUMBE
ote_parroquia_010153,ote_canton_0101,53,CHAUCHA
ote_parroquia_010154,ote_canton_0101,54,CHECA (JIDCAY)
ote_parroquia_010155,ote_canton_0101,55,CHIQUINTAD
ote_parroquia_010156,ote_canton_0101,56,LLACAO
ote_parroquia_010157,ote_canton_0101,57,MOLLETURO
ote_parroquia_010158,ote_canton_0101,58,NULTI
ote_parroquia_010159,ote_canton_0101,59,OCTAVIO CORDERO PALACIOS (STA. ROSA)
ote_parroquia_010160,ote_canton_0101,60,PACCHA
ote_parroquia_010161,ote_canton_0101,61,QUINGEO
ote_parroquia_010162,ote_canton_0101,62,RICAURTE
ote_parroquia_010163,ote_canton_0101,63,SAN JOAQUIN
ote_parroquia_010164,ote_canton_0101,64,SANTA ANA
ote_parroquia_010165,ote_canton_0101,65,SAYAUSI
ote_parroquia_010166,ote_canton_0101,66,SIDCAY
ote_parroquia_010167,ote_canton_0101,67,SININCAY
ote_parroquia_010168,ote_canton_0101,68,TARQUI
ote_parroquia_010169,ote_canton_0101,69,TURI
ote_parroquia_010170,ote_canton_0101,70,VALLE
ote_parroquia_010171,ote_canton_0101,71,VICTORIA DEL PORTETE (IRQUIS)
ote_parroquia_010250,ote_canton_0102,50,GIRON
ote_parroquia_010251,ote_canton_0102,51,LA ASUNCION
ote_parroquia_010252,ote_canton_0102,52,SAN GERARDO
ote_parroquia_010350,ote_canton_0103,50,GUALACEO
ote_parroquia_010352,ote_canton_0103,52,DANIEL CORDOVA TORAL (EL ORIENTE)
ote_parroquia_010353,ote_canton_0103,53,JADAN
ote_parroquia_010354,ote_canton_0103,54,MARIANO MORENO
ote_parroquia_010356,ote_canton_0103,56,REMIGIO CRESPO TORAL (GULAG)
ote_parroquia_010357,ote_canton_0103,57,SAN JUAN
ote_parroquia_010358,ote_canton_0103,58,ZHIDMAD
ote_parroquia_010359,ote_canton_0103,59,LUIS CORDERO VEGA
ote_parroquia_010360,ote_canton_0103,60,SIMON BOLIVAR (CAB. EN GAÑANZOL)
ote_parroquia_010450,ote_canton_0104,50,NABON
ote_parroquia_010451,ote_canton_0104,51,COCHAPATA
ote_parroquia_010452,ote_canton_0104,52,EL PROGRESO (CAB. EN ZHOTA)
ote_parroquia_010453,ote_canton_0104,53,LAS NIEVES (CHAYA)
ote_parroquia_010550,ote_canton_0105,50,PAUTE
ote_parroquia_010552,ote_canton_0105,52,BULAN (JOSE VICTOR IZQUIERDO)
ote_parroquia_010553,ote_canton_0105,53,CHICAN (GUILLERMO ORTEGA)
ote_parroquia_010554,ote_canton_0105,54,EL CABO
ote_parroquia_010556,ote_canton_0105,56,GUARAINAG
ote_parroquia_010559,ote_canton_0105,59,SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO)
ote_parroquia_010561,ote_canton_0105,61,TOMEBAMBA
ote_parroquia_010562,ote_canton_0105,62,DUG DUG
ote_parroquia_010650,ote_canton_0106,50,PUCARA
ote_parroquia_010652,ote_canton_0106,52,SAN RAFAEL DE SHARUG
ote_parroquia_010750,ote_canton_0107,50,SAN FERNANDO
ote_parroquia_010751,ote_canton_0107,51,CHUMBLIN
ote_parroquia_010850,ote_canton_0108,50,SANTA ISABEL (CHAGUARURCO)
ote_parroquia_010851,ote_canton_0108,51,ABDON CALDERON (LA UNION)
ote_parroquia_010852,ote_canton_0108,52,EL CARMEN DE PIJILI
ote_parroquia_010853,ote_canton_0108,53,ZHAGLLI (SHAGLLI )
ote_parroquia_010854,ote_canton_0108,54,SAN SALVADOR DE CAÑARIBAMBA
ote_parroquia_010950,ote_canton_0109,50,SIGSIG
ote_parroquia_010951,ote_canton_0109,51,CUCHIL
ote_parroquia_010952,ote_canton_0109,52,GIMA
ote_parroquia_010953,ote_canton_0109,53,GUEL
ote_parroquia_010954,ote_canton_0109,54,LUDO
