id,code,name
ote_province_01,01,AZUAY
ote_province_02,02,BOLIVAR
ote_province_03,03,CAÑAR
ote_province_04,04,CARCHI
ote_province_05,05,COTOPAXI
ote_province_06,06,CHIMBORAZO
ote_province_07,07,EL ORO
ote_province_08,08,ESMERALDAS
ote_province_09,09,GUAYAS
ote_province_10,10,IMBABURA
ote_province_11,11,LOJA
ote_province_12,12,LOS RIOS
ote_province_13,13,MANABI
ote_province_14,14,MORONA SANTIAGO
ote_province_15,15,NAPO
ote_province_16,16,PASTAZA
ote_province_17,17,PICHINCHA
ote_province_18,18,TUNGURAHUA
ote_province_19,19,ZAMORA CHINCHIPE
ote_province_20,20,GALAPAGOS
ote_province_21,21,SUCUMBIOS
ote_province_22,22,ORELLANA
ote_province_23,23,SANTO DOMINGO DE LOS TSACHILAS
ote_province_24,24,SANTA ELENA
