code;name;rama_ids/code;rama_ids/name;cargos_ids/code;cargos_ids/name;cargos_ids/value
A01;AGRICULTURA Y PLANTACIONES;A0101011112;PLANTACIONES DE PALMA AFRICANA;101011112039;SUPERVISOR DE LA PLANTACION;405,6100
A01;AGRICULTURA Y PLANTACIONES;A0101011112;PLANTACIONES DE PALMA AFRICANA;101011112042;SUPERVISOR DE MANTENIMIENTO;398,5300
A01;AGRICULTURA Y PLANTACIONES;A0101011112;PLANTACIONES DE PALMA AFRICANA;101011112052;TRABAJADOR DEL AGRO: CORTE Y RECOLECCION DE RACIMOS, CORONA QUIMICA, APLICACION DE MATERIA ORGANICA, CHAPIA, CORONA MANUAL - M;395,3800
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113140;EMPACADOR;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113141;TUCSERO;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113142;MAQUINISTA;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113143;SUNQUERO;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113144;TALLERO;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113145;ACARREADOR DE FIBRA (BURRERO);394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113146;TENDALERO;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011113;PLANTACIONES DE ABACA;101011113147;TRABAJADOR DEL AGRO: DESMONTAJE, PREPARACION DE SUELOS, CHAPIA, SIEMBRA, MANTENIMIENTO EN GENERAL, CORONA, CONTROL FITOSANITAR;394,0000
A01;AGRICULTURA Y PLANTACIONES;A0101011210;PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA;101011210065;SUPERVISOR DE RIEGO;405,6100
A01;AGRICULTURA Y PLANTACIONES;A0101011210;PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA;101011210067;JEFE DE POSTCOSECHA;404,4300
A01;AGRICULTURA Y PLANTACIONES;A0101011210;PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA;101011210070;OPERADOR DE RIEGO;399,7100
A01;AGRICULTURA Y PLANTACIONES;A0101011210;PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA;101011210073;SUPERVISOR DE POSTCOSECHA;398,5300
A01;AGRICULTURA Y PLANTACIONES;A0101011210;PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA;101011210074;SUPERVISOR DE CULTIVO;398,5300
A01;AGRICULTURA Y PLANTACIONES;A0101011210;PRODUCCION DE FLORES NATURALES Y PLANTAS ORNAMENTALES Y MEDICINA;101011210075;SUPERVISOR DE MANTENIMIENTO;398,5300
